paperId,authorId,weight
1,1,1
2,2,0.6666666667
2,3,0.3333333333
3,4,0.5
3,5,0.3333333333
3,6,0.1666666667
4,7,1
5,8,1
6,9,0.6666666667
6,10,0.3333333333
7,11,1
8,12,1
9,13,1
10,11,1
11,14,1
12,15,1
13,16,1
14,17,1
15,18,1
16,19,0.6666666667
16,20,0.3333333333
17,21,1
18,22,1
19,23,1
20,24,1
21,25,1
22,26,0.2857142857
22,27,0.2380952381
22,28,0.1904761905
22,29,0.1428571429
22,30,0.0952380952
22,31,0.0476190476
23,32,1
24,33,1
25,34,0.6666666667
25,32,0.3333333333
26,35,0.6666666667
26,36,0.3333333333
27,37,0.4
27,38,0.3
27,39,0.2
27,40,0.1
28,41,0.6666666667
28,42,0.3333333333
29,43,0.5
29,44,0.3333333333
29,45,0.1666666667
30,46,1
31,47,1
32,48,0.6666666667
32,45,0.3333333333
33,49,0.5
33,50,0.3333333333
33,51,0.1666666667
34,52,1
35,53,0.3333333333
35,39,0.2666666667
35,54,0.2
35,55,0.1333333333
35,56,0.0666666667
36,57,1
37,43,0.5
37,58,0.3333333333
37,45,0.1666666667
38,52,1
39,59,1
40,60,0.6666666667
40,61,0.3333333333
41,62,0.5
41,63,0.3333333333
41,64,0.1666666667
42,65,0.5
42,66,0.3333333333
42,67,0.1666666667
43,68,1
44,69,1
45,70,0.5
45,71,0.3333333333
45,72,0.1666666667
46,73,0.6666666667
46,74,0.3333333333
47,75,0.6666666667
47,76,0.3333333333
48,77,1
49,78,0.5
49,79,0.3333333333
49,80,0.1666666667
50,52,1
51,81,0.6666666667
51,82,0.3333333333
52,78,0.3333333333
52,79,0.2666666667
52,83,0.2
52,84,0.1333333333
52,80,0.0666666667
53,85,1
54,86,1
55,87,1
56,88,0.5
56,89,0.3333333333
56,90,0.1666666667
57,91,0.4
57,92,0.3
57,93,0.2
57,94,0.1
58,95,0.4
58,96,0.3
58,68,0.2
58,53,0.1
59,97,0.6666666667
59,98,0.3333333333
60,99,1
61,88,1
62,100,0.3333333333
62,101,0.2666666667
62,102,0.2
62,103,0.1333333333
62,104,0.0666666667
63,70,0.6666666667
63,71,0.3333333333
64,100,0.2857142857
64,101,0.2380952381
64,102,0.1904761905
64,105,0.1428571429
64,103,0.0952380952
64,104,0.0476190476
65,106,0.5
65,107,0.3333333333
65,108,0.1666666667
66,109,1
67,99,1
68,110,1
69,111,0.5
69,112,0.3333333333
69,113,0.1666666667
70,100,0.2857142857
70,102,0.2380952381
70,101,0.1904761905
70,105,0.1428571429
70,103,0.0952380952
70,104,0.0476190476
71,114,0.6666666667
71,115,0.3333333333
72,79,0.4
72,78,0.3
72,84,0.2
72,80,0.1
73,114,0.6666666667
73,115,0.3333333333
74,116,1
75,114,0.6666666667
75,115,0.3333333333
76,114,0.6666666667
76,115,0.3333333333
77,114,0.6666666667
77,115,0.3333333333
78,114,0.6666666667
78,115,0.3333333333
79,117,0.6666666667
79,118,0.3333333333
80,114,0.6666666667
80,115,0.3333333333
81,117,0.6666666667
81,118,0.3333333333
82,119,0.6666666667
82,120,0.3333333333
83,121,0.6666666667
83,122,0.3333333333
84,100,0.3333333333
84,101,0.2666666667
84,102,0.2
84,103,0.1333333333
84,104,0.0666666667
85,123,0.6666666667
85,115,0.3333333333
86,124,0.5
86,99,0.3333333333
86,117,0.1666666667
87,125,0.5
87,39,0.3333333333
87,126,0.1666666667
88,127,0.5
88,128,0.3333333333
88,129,0.1666666667
89,130,1
90,52,1
91,120,0.5
91,131,0.3333333333
91,132,0.1666666667
92,133,1
93,134,1
94,135,1
95,136,0.5
95,137,0.3333333333
95,138,0.1666666667
96,139,1
97,140,1
98,141,0.6666666667
98,142,0.3333333333
99,143,0.6666666667
99,144,0.3333333333
100,114,0.6666666667
100,115,0.3333333333
101,145,0.4
101,146,0.3
101,147,0.2
101,148,0.1
102,149,0.6666666667
102,150,0.3333333333
103,100,0.25
103,102,0.2142857143
103,101,0.1785714286
103,105,0.1428571429
103,151,0.1071428571
103,103,0.0714285714
103,104,0.0357142857
104,152,0.5
104,78,0.3333333333
104,80,0.1666666667
105,85,0.6666666667
105,153,0.3333333333
106,52,0.6666666667
106,154,0.3333333333
107,155,0.5
107,107,0.3333333333
107,108,0.1666666667
108,114,0.6666666667
108,115,0.3333333333
109,121,0.6666666667
109,122,0.3333333333
110,156,1
111,157,0.6666666667
111,147,0.3333333333
112,119,0.6666666667
112,120,0.3333333333
113,158,0.6666666667
113,159,0.3333333333
114,149,0.6666666667
114,150,0.3333333333
115,114,1
116,160,1
117,119,0.6666666667
117,120,0.3333333333
118,114,0.6666666667
118,115,0.3333333333
119,161,0.3333333333
119,162,0.2666666667
119,163,0.2
119,164,0.1333333333
119,165,0.0666666667
120,166,1
121,121,0.6666666667
121,122,0.3333333333
122,167,1
123,168,0.4
123,169,0.3
123,170,0.2
123,171,0.1
124,149,0.6666666667
124,99,0.3333333333
125,119,0.6666666667
125,120,0.3333333333
126,100,0.3333333333
126,102,0.2666666667
126,101,0.2
126,103,0.1333333333
126,104,0.0666666667
127,149,0.6666666667
127,150,0.3333333333
128,172,1
129,135,0.6666666667
129,173,0.3333333333
130,149,0.6666666667
130,99,0.3333333333
131,119,0.5
131,174,0.3333333333
131,120,0.1666666667
132,135,0.6666666667
132,173,0.3333333333
133,175,0.6666666667
133,176,0.3333333333
134,177,0.6666666667
134,178,0.3333333333
135,119,0.6666666667
135,120,0.3333333333
136,179,1
137,180,0.5
137,181,0.3333333333
137,182,0.1666666667
138,183,0.6666666667
138,184,0.3333333333
139,149,0.6666666667
139,99,0.3333333333
140,102,0.5
140,100,0.3333333333
140,34,0.1666666667
141,149,0.6666666667
141,99,0.3333333333
142,185,0.5
142,186,0.3333333333
142,187,0.1666666667
143,143,0.5
143,188,0.3333333333
143,144,0.1666666667
144,189,1
145,190,1
146,135,1
147,124,0.5
147,99,0.3333333333
147,117,0.1666666667
148,52,1
149,180,0.5
149,181,0.3333333333
149,182,0.1666666667
150,191,0.6666666667
150,192,0.3333333333
151,100,0.3333333333
151,101,0.2666666667
151,102,0.2
151,103,0.1333333333
151,104,0.0666666667
152,193,0.5
152,161,0.3333333333
152,162,0.1666666667
153,193,0.5
153,161,0.3333333333
153,162,0.1666666667
154,121,0.5
154,122,0.3333333333
154,194,0.1666666667
155,121,0.6666666667
155,122,0.3333333333
156,195,0.6666666667
156,196,0.3333333333
157,119,0.6666666667
157,120,0.3333333333
158,121,0.6666666667
158,122,0.3333333333
159,121,0.6666666667
159,122,0.3333333333
160,197,0.5
160,198,0.3333333333
160,199,0.1666666667
161,122,1
162,121,1
163,100,0.3333333333
163,102,0.2666666667
163,101,0.2
163,103,0.1333333333
163,104,0.0666666667
164,200,0.5
164,201,0.3333333333
164,202,0.1666666667
165,203,0.6666666667
165,204,0.3333333333
166,205,1
167,100,0.5
167,102,0.3333333333
167,206,0.1666666667
168,207,0.6666666667
168,181,0.3333333333
169,121,0.6666666667
169,122,0.3333333333
170,208,0.5
170,209,0.3333333333
170,210,0.1666666667
171,211,1
172,212,0.6666666667
172,213,0.3333333333
173,214,0.3333333333
173,215,0.2666666667
173,216,0.2
173,107,0.1333333333
173,217,0.0666666667
174,119,0.6666666667
174,120,0.3333333333
175,218,0.4
175,219,0.3
175,220,0.2
175,221,0.1
176,222,0.4
176,223,0.3
176,224,0.2
176,38,0.1
177,190,1
178,217,0.6666666667
178,216,0.3333333333
179,223,0.4
179,225,0.3
179,224,0.2
179,38,0.1
180,226,1
181,227,0.6666666667
181,181,0.3333333333
182,217,0.6666666667
182,216,0.3333333333
183,149,0.6666666667
183,99,0.3333333333
184,185,0.4
184,187,0.3
184,228,0.2
184,186,0.1
185,229,0.6666666667
185,230,0.3333333333
186,231,0.6666666667
186,144,0.3333333333
188,232,1
189,135,0.6666666667
189,233,0.3333333333
190,135,0.6666666667
190,233,0.3333333333
191,217,0.6666666667
191,216,0.3333333333
192,234,1
193,235,1
194,133,0.5
194,236,0.3333333333
194,237,0.1666666667
195,238,1
196,239,1
197,123,0.6666666667
197,115,0.3333333333
199,240,1
200,151,1
201,241,0.5
201,242,0.3333333333
201,243,0.1666666667
202,244,0.5
202,223,0.3333333333
202,38,0.1666666667
203,245,1
204,119,0.6666666667
204,120,0.3333333333
205,114,0.6666666667
205,246,0.3333333333
206,247,0.4
206,248,0.3
206,249,0.2
206,250,0.1
207,199,0.4
207,251,0.3
207,252,0.2
207,253,0.1
208,254,0.4
208,255,0.3
208,256,0.2
208,257,0.1
209,223,0.4
209,244,0.3
209,224,0.2
209,38,0.1
210,114,1
211,258,1
212,100,0.5
212,259,0.3333333333
212,102,0.1666666667
213,119,0.5
213,120,0.3333333333
213,99,0.1666666667
214,260,0.6666666667
214,261,0.3333333333
215,119,0.6666666667
215,120,0.3333333333
216,262,1
217,263,0.5
217,264,0.3333333333
217,188,0.1666666667
218,265,1
219,266,1
220,267,0.5
220,212,0.3333333333
220,213,0.1666666667
221,268,1
222,269,0.4
222,270,0.3
222,271,0.2
222,272,0.1
223,273,1
224,52,1
225,123,0.6666666667
225,115,0.3333333333
226,121,0.6666666667
226,122,0.3333333333
227,274,1
228,275,0.5
228,276,0.3333333333
228,277,0.1666666667
229,244,0.4
229,223,0.3
229,224,0.2
229,38,0.1
230,122,1
231,119,1
232,226,1
233,278,0.6666666667
233,250,0.3333333333
234,174,0.6666666667
234,120,0.3333333333
235,208,0.6666666667
235,279,0.3333333333
236,280,1
237,121,0.6666666667
237,122,0.3333333333
238,281,0.6666666667
238,238,0.3333333333
239,119,0.6666666667
239,120,0.3333333333
240,282,0.4
240,283,0.3
240,284,0.2
240,285,0.1
241,166,1
242,286,0.6666666667
242,287,0.3333333333
243,119,0.6666666667
243,120,0.3333333333
244,160,1
245,288,0.4
245,134,0.3
245,289,0.2
245,290,0.1
246,208,0.6666666667
246,279,0.3333333333
247,100,0.5
247,206,0.3333333333
247,102,0.1666666667
249,151,1
250,291,0.6666666667
250,292,0.3333333333
251,114,1
252,293,0.5
252,121,0.3333333333
252,122,0.1666666667
253,121,0.6666666667
253,122,0.3333333333
254,294,0.4
254,295,0.3
254,171,0.2
254,296,0.1
255,297,0.4
255,298,0.3
255,299,0.2
255,100,0.1
256,300,0.5
256,301,0.3333333333
256,302,0.1666666667
257,303,0.6666666667
257,304,0.3333333333
259,305,0.6666666667
259,250,0.3333333333
260,278,1
261,306,1
262,307,1
263,223,0.5
263,222,0.3333333333
263,38,0.1666666667
264,308,0.6666666667
264,309,0.3333333333
265,114,1
266,310,1
267,311,0.5
267,312,0.3333333333
267,313,0.1666666667
268,217,0.6666666667
268,216,0.3333333333
269,119,1
270,314,0.6666666667
270,121,0.3333333333
271,114,1
272,263,0.5
272,264,0.3333333333
272,188,0.1666666667
273,315,0.6666666667
273,316,0.3333333333
274,317,0.6666666667
274,318,0.3333333333
275,319,0.5
275,320,0.3333333333
275,321,0.1666666667
276,322,1
277,323,1
278,324,1
279,325,1
280,326,1
281,327,1
282,114,1
283,328,0.5
283,329,0.3333333333
283,330,0.1666666667
284,226,0.6666666667
284,331,0.3333333333
285,260,0.6666666667
285,261,0.3333333333
286,180,0.6666666667
286,181,0.3333333333
287,317,0.6666666667
287,318,0.3333333333
288,332,1
289,333,0.6666666667
289,334,0.3333333333
290,335,0.5
290,121,0.3333333333
290,122,0.1666666667
291,336,1
292,123,0.6666666667
292,115,0.3333333333
293,337,1
294,338,1
295,339,1
296,114,1
297,340,0.4
297,341,0.3
297,342,0.2
297,343,0.1
298,344,0.5
298,345,0.3333333333
298,346,0.1666666667
299,226,1
300,347,1
301,339,1
302,177,0.4
302,348,0.3
302,178,0.2
302,210,0.1
303,319,0.5
303,321,0.3333333333
303,349,0.1666666667
304,350,1
305,314,0.6666666667
305,121,0.3333333333
306,302,0.4
306,297,0.3
306,103,0.2
306,100,0.1
307,351,0.5
307,352,0.3333333333
307,353,0.1666666667
308,123,0.6666666667
308,115,0.3333333333
309,354,0.5
309,121,0.3333333333
309,122,0.1666666667
310,121,0.5
310,355,0.3333333333
310,356,0.1666666667
311,218,0.4
311,219,0.3
311,220,0.2
311,221,0.1
312,357,1
313,358,0.6666666667
313,359,0.3333333333
314,360,1
315,361,0.3333333333
315,362,0.2666666667
315,181,0.2
315,363,0.1333333333
315,364,0.0666666667
316,365,0.5
316,366,0.3333333333
316,367,0.1666666667
317,339,1
318,368,0.5
318,369,0.3333333333
318,370,0.1666666667
319,359,0.6666666667
319,358,0.3333333333
320,133,1
321,371,0.4
321,372,0.3
321,373,0.2
321,374,0.1
322,375,0.5
322,376,0.3333333333
322,114,0.1666666667
323,377,0.6666666667
323,378,0.3333333333
324,379,0.6666666667
324,380,0.3333333333
325,226,1
326,381,0.6666666667
326,382,0.3333333333
327,379,0.6666666667
327,380,0.3333333333
328,379,0.6666666667
328,380,0.3333333333
329,379,0.6666666667
329,380,0.3333333333
330,383,1
331,384,0.5
331,223,0.3333333333
331,38,0.1666666667
332,310,1
333,322,0.5
333,331,0.3333333333
333,226,0.1666666667
334,119,0.6666666667
334,385,0.3333333333
335,319,0.6666666667
335,321,0.3333333333
337,386,1
338,317,0.5
338,318,0.3333333333
338,387,0.1666666667
339,119,0.6666666667
339,388,0.3333333333
340,389,0.6666666667
340,390,0.3333333333
341,391,0.6666666667
341,392,0.3333333333
342,393,1
343,348,1
344,394,1
345,395,0.4
345,396,0.3
345,397,0.2
345,20,0.1
346,278,0.6666666667
346,250,0.3333333333
347,398,0.3333333333
347,399,0.2666666667
347,400,0.2
347,401,0.1333333333
347,63,0.0666666667
348,402,1
349,293,1
350,403,0.6666666667
350,404,0.3333333333
351,405,0.6666666667
351,213,0.3333333333
352,406,0.6666666667
352,407,0.3333333333
353,114,0.6666666667
353,226,0.3333333333
354,408,0.4
354,409,0.3
354,410,0.2
354,411,0.1
355,412,1
356,408,0.5
356,409,0.3333333333
356,411,0.1666666667
357,413,0.5
357,414,0.3333333333
357,415,0.1666666667
358,135,0.3333333333
358,416,0.2666666667
358,417,0.2
358,418,0.1333333333
358,419,0.0666666667
359,420,0.5
359,421,0.3333333333
359,422,0.1666666667
360,423,1
361,226,0.6666666667
361,114,0.3333333333
362,398,0.6666666667
362,63,0.3333333333
363,424,1
364,293,0.5
364,121,0.3333333333
364,122,0.1666666667
365,425,0.3333333333
365,426,0.2666666667
365,427,0.2
365,428,0.1333333333
365,429,0.0666666667
366,430,1
367,431,1
368,348,1
369,177,1
370,114,0.6666666667
370,226,0.3333333333
371,119,0.6666666667
371,388,0.3333333333
373,432,1
374,120,0.5
374,274,0.3333333333
374,433,0.1666666667
375,35,0.2857142857
375,434,0.2380952381
375,435,0.1904761905
375,436,0.1428571429
